4,10026
5,92
18,5026
20,10032
21,970
21,10034
23,24
24,25
25,15031
27,2549
29,35
33,2554
34,1308
34,5018
38,3778
41,10051
47,50
54,61
54,686
64,10068
77,10065
80,227
89,716
108,5100
111,5285
114,115
117,276
120,122
123,757
124,448
129,134
144,258
146,10084
150,1099
153,1104
153,10173
155,10158
159,505
160,5163
162,165
162,489
163,1413
179,2701
180,5033
181,1433
185,191
188,190
190,5286
190,10187
194,10202
196,270
197,1449
198,199
204,208
206,207
207,227
212,808
217,5228
221,10218
224,549
230,874
234,251
235,243
237,580
237,879
261,262
261,911
264,2763
270,291
274,277
279,280
280,5255
286,287
301,1544
303,617
303,2795
315,316
315,319
316,319
319,364
325,2823
331,1574
332,5353
334,5338
339,5438
340,1735
341,342
344,345
344,422
348,349
352,353
354,10314
357,358
357,510
360,361
363,371
369,450
376,5392
391,470
391,543
394,395
404,10395
407,5345
422,423
422,2917
425,1045
426,2317
427,5449
430,434
431,2321
438,1058
438,11062
447,1673
448,1675
451,610
452,5472
455,635
455,5136
462,465
468,10443
474,1706
476,5489
476,10451
477,5151
483,5502
489,5510
490,520
490,568
490,3587
492,1801
495,2983
500,10527
509,512
511,512
511,2997
517,5533
518,1749
521,1753
529,530
530,634
531,1151
535,1152
542,1163
545,546
547,5562
549,550
551,552
555,3045
558,1181
560,10544
563,568
566,597
571,572
586,587
586,594
590,5601
596,1197
600,601
601,602
605,614
610,10591
614,1242
615,616
616,3101
618,630
620,1847
632,6282
636,637
644,964
647,722
653,962
656,15635
657,969
669,670
670,1984
672,1896
675,747
682,684
683,685
684,845
692,10653
694,712
694,5735
699,5719
700,701
709,5711
712,5735
715,5739
717,718
721,5773
724,10687
726,3202
727,728
730,5758
732,15711
743,3223
746,749
750,768
752,5934
763,10737
769,5141
775,3264
789,792
793,854
794,795
796,2028
805,855
817,2040
819,11138
821,901
833,2053
835,836
846,858
848,5863
856,8346
873,1017
874,1169
887,1213
889,893
889,2116
897,898
898,5268
916,920
917,919
921,10845
924,5943
926,927
926,1238
933,3410
933,5876
941,1255
945,1256
945,13418
947,948
950,1102
955,5981
961,2213
962,5985
968,1040
979,3607
982,1119
989,3474
993,4737
996,997
996,1002
996,1007
997,10973
1002,1007
1008,1058
1016,3484
1018,1174
1019,1020
1030,3516
1038,11036
1039,3531
1043,5445
1054,6071
1058,11062
1059,6086
1065,1077
1070,1229
1079,2348
1086,1087
1096,2361
1098,2362
1098,6127
1101,1178
1108,2367
1108,3584
1109,11112
1115,1189
1116,1131
1117,1118
1119,3589
1122,6155
1127,11141
1138,1157
1143,1150
1149,1169
1150,1153
1152,11173
1160,6195
1174,6288
1178,1184
1180,1194
1180,3647
1189,11202
1209,3725
1212,1256
1218,6254
1218,7485
1220,1237
1225,1229
1225,2498
1228,1232
1229,2498
1234,11205
1236,1238
1240,2523
1244,1844
1246,1258
1258,1262
1258,3735
1261,3707
1262,3735
1263,2520
1269,11283
1275,1276
1278,1873
1286,1287
1286,1561
1286,6312
1292,1293
1308,11914
1328,1329
1332,5062
1342,1369
1345,11294
1353,1354
1353,1355
1355,1652
1358,1661
1361,1367
1361,1395
1366,6400
1367,1395
1372,11383
1373,1527
1375,1993
1376,1377
1380,2159
1385,2344
1388,1396
1389,1390
1389,11341
1398,6452
1404,4206
1405,11415
1408,6465
1411,1412
1414,6478
1416,1419
1422,3895
1425,2027
1427,1501
1436,11494
1437,1438
1440,2054
1444,1446
1450,1454
1468,1532
1469,1538
1471,2078
1496,1502
1496,11554
1500,2130
1515,12154
1520,10275
1521,1523
1522,1523
1526,2170
1530,1531
1530,11562
1531,11560
1541,2171
1546,4043
1558,1578
1564,1588
1572,1717
1575,2830
1577,2211
1588,1629
1603,11614
1607,1832
1615,1635
1616,6644
1618,1619
1618,2251
1621,6640
1627,2257
1628,4071
1638,1641
1638,4767
1640,4146
1656,2318
1666,1668
1669,1681
1680,1681
1680,1705
1686,1691
1690,4178
1692,1850
1699,2354
1701,1702
1721,6743
1724,1728
1727,1803
1727,11732
1729,1747
1743,6632
1748,1759
1748,2484
1753,1768
1755,2410
1769,1772
1769,1773
1774,1854
1775,11790
1781,1784
1784,1785
1786,1787
1788,6833
1805,4299
1807,1808
1811,1812
1817,12454
1818,6899
1823,1846
1827,2490
1831,1832
1841,1862
1846,1847
1852,6889
1856,6896
1860,1861
1861,6822
1862,2523
1863,2524
1869,1889
1880,1912
1881,6919
1894,1895
1894,11887
1896,7212
1900,1901
1906,2137
1909,2241
1920,1921
1923,2242
1928,2245
1944,12019
1950,1985
1958,2293
1967,2124
1971,1972
1981,4478
1988,2005
1993,2013
2000,12161
2004,2362
2006,2073
2009,2014
2011,12013
2015,4507
2023,2028
2023,7065
2025,2059
2026,2027
2038,12052
2040,3914
2057,2406
2057,4565
2065,2415
2065,2416
2068,2161
2068,7092
2069,2070
2069,4579
2070,2164
2075,6527
2078,12100
2081,2082
2081,7179
2090,2091
2094,2104
2096,2137
2096,4523
2096,12114
2099,2118
2099,2121
2101,2104
2102,2289
2105,4529
2107,2110
2114,12125
2116,7126
2118,2121
2121,2158
2131,2175
2131,12133
2136,3380
2138,7138
2148,2164
2154,12160
2170,2507
2171,2508
2179,2180
2180,2181
2193,2521
2193,4672
2199,11572
2214,12214
2223,2316
2234,2259
2234,4736
2235,2236
2237,2414
2241,2242
2244,12236
2246,4747
2249,2252
2254,2258
2254,11636
2255,12256
2258,2270
2259,4736
2261,12248
2262,7218
2263,3497
2265,2266
2268,2269
2268,2358
2269,2270
2275,2325
2275,4765
2286,2287
2291,2314
2292,2303
2294,2295
2294,2296
2295,2296
2299,2300
2303,2304
2306,7291
2313,2314
2315,2353
2317,4789
2324,2325
2325,7316
2327,2498
2340,12313
2345,2349
2352,2360
2355,2359
2359,3573
2359,7352
2373,2415
2390,2391
2394,2395
2397,2401
2400,2401
2407,2411
2410,2412
2413,2515
2415,2416
2416,2503
2419,4900
2429,7430
2435,4757
2446,2447
2462,2464
2469,3667
2486,2495
2490,12467
2493,12479
2496,4972
2510,2513
2510,6269
2518,12488
2519,4671
2525,3430
2526,3744
2529,3128
2530,2809
2534,2823
2536,12508
2541,13147
2549,7556
2552,5034
2561,2563
2563,4415
2564,3470
2566,3163
2576,2582
2589,3042
2590,10086
2596,2613
2599,3202
2600,3206
2601,2602
2605,2606
2608,2657
2612,3218
2613,2660
2613,7635
2616,2617
2618,12586
2619,2621
2621,3222
2625,2668
2631,2657
2639,2642
2641,12610
2645,2665
2659,12623
2660,4189
2660,7635
2660,7676
2670,2671
2670,3272
2676,7709
2679,12500
2688,7705
2690,2749
2693,2753
2695,12690
2696,3301
2700,12659
2705,2798
2708,3786
2719,7816
2723,3024
2728,2729
2728,3959
2729,2784
2729,3959
2739,2740
2750,7787
2772,13386
2775,7810
2778,4021
2779,2782
2782,3710
2785,3102
2787,3415
2808,4048
2810,2811
2810,2812
2811,2970
2815,2827
2822,2839
2822,3437
2826,2833
2831,2982
2831,12812
2834,2899
2836,2990
2843,12824
2850,3465
2850,12828
2851,4719
2853,12859
2855,3478
2857,3479
2864,2886
2864,2949
2877,3493
2883,2960
2885,3496
2901,2919
2902,9200
2903,3062
2906,2930
2907,3067
2918,7935
2920,7937
2930,2932
2939,2940
2940,4170
2942,2943
2955,4110
2970,2976
2970,7998
2975,4216
2976,7998
2985,2987
2996,7717
3000,3085
3002,13036
3009,8112
3017,3020
3023,4255
3050,3059
3050,3646
3051,3052
3060,3092
3063,3064
3068,13054
3099,12939
3108,13106
3116,3730
3116,3731
3121,8145
3124,3125
3145,8316
3154,4481
3154,13161
3156,3234
3160,3167
3174,3254
3177,3257
3183,13494
3189,4449
3194,13211
3198,14463
3201,13216
3210,3511
3223,3382
3225,3532
3232,13260
3235,3242
3237,3248
3242,4652
3246,3266
3250,3405
3253,3254
3263,3416
3269,3384
3282,3396
3284,3289
3284,3361
3298,4631
3311,3314
3331,3425
3344,4582
3369,3397
3372,13364
3375,8444
3375,13688
3377,13300
3377,13366
3381,3419
3390,8412
3393,3414
3408,8440
3410,3411
3422,13375
3424,3731
3426,3447
3435,13439
3440,3462
3440,3587
3440,4695
3445,3446
3446,8482
3449,3461
3455,3456
3458,3460
3459,3604
3462,3465
3462,4695
3463,3465
3465,12828
3479,3617
3482,3498
3487,13485
3495,8206
3500,4918
3502,3505
3509,3522
3513,13513
3518,3519
3524,3560
3527,8573
3530,3536
3532,3537
3544,3545
3548,4811
3548,6092
3559,4187
3561,4839
3567,4842
3570,4845
3571,3718
3580,3584
3583,4866
